TIPNR_ID	WIKIDATA_ID
Elisheba_Exo.6.23	Q2916801
Elishua_2Sa.5.15	
Eliud_Mat.1.14	Q18699272
Elizabeth_Luk.1.5	
Elizaphan_Exo.6.22	
Elizaphan_Num.34.25	
Elizur_Num.1.5	
Elkanah_Exo.6.24	Q2424977
Elkanah_1Sa.1.1	Q2424977
Elkanah_1Ch.6.25	Q2424977
Elkanah_1Ch.6.26	Q2424977
Elkanah_1Ch.9.16	Q2424977
Elkanah_1Ch.12.6	Q2424977
Elkanah_1Ch.15.23	Q2424977
Elkanah_2Ch.28.7	Q2424977
Elmadam_Luk.3.28	
Elnaam_1Ch.11.46	
Elnathan_2Ki.24.8	Q109023366
Elnathan_Ezr.8.16a	Q109023366
Elnathan_Ezr.8.16b	Q109023366
Elnathan_Ezr.8.16c	Q109023366
Elnathan_Jer.26.22	Q109023366
Elon_Gen.26.34	
Elon_Gen.46.14	
Elon_Jdg.12.11	
